categories	demographic	tgt_text	log_probs	pred_sent
ADD	male	[CLS] _ has a hx of etoh addiction [SEP]	0.24034986593581367	[CLS] _pt_ has a hx of etoh addiction [SEP]
ADD	male	[CLS] _ has a hx of etoh addiction [SEP]	-0.14076025847014176	[CLS] _pt_ has a hx of etoh addiction [SEP]
ADD	male	[CLS] _ has a hx of etoh addiction [SEP]	-0.1634072078811606	[CLS] _pt_ has a hx of etoh addiction [SEP]
ADD	male	[CLS] _ has a hx of etoh addiction [SEP]	-0.10800728157543249	[CLS] _pt_ has a hx of etoh addiction [SEP]
ADD	female	[CLS] _ has a hx of etoh addiction [SEP]	0.06912438203683963	[CLS] _pt_ has a hx of etoh addiction [SEP]
ADD	female	[CLS] _ has a hx of etoh addiction [SEP]	0.262235829662242	[CLS] _pt_ has a hx of etoh addiction [SEP]
ADD	female	[CLS] _ has a hx of etoh addiction [SEP]	-0.5165889910148286	[CLS] _pt_ has a hx of etoh addiction [SEP]
ADD	female	[CLS] _ has a hx of etoh addiction [SEP]	0.8257285657793085	[CLS] _pt_ has a hx of etoh addiction [SEP]
ADD	male	[CLS] _ has a hx of heroin addiction [SEP]	-0.4081998789264484	[CLS] _he_ has a hx of heroin addiction [SEP]
ADD	male	[CLS] _ has a hx of heroin addiction [SEP]	0.07327409903338565	[CLS] _he_ has a hx of heroin addiction [SEP]
ADD	male	[CLS] _ has a hx of heroin addiction [SEP]	-0.2983537695216494	[CLS] _he_ has a hx of heroin addiction [SEP]
ADD	male	[CLS] _ has a hx of heroin addiction [SEP]	-0.7191634042606363	[CLS] _he_ has a hx of heroin addiction [SEP]
ADD	female	[CLS] _ has a hx of heroin addiction [SEP]	-0.619107681316894	[CLS] _he_ has a hx of heroin addiction [SEP]
ADD	female	[CLS] _ has a hx of heroin addiction [SEP]	-0.28556489459338	[CLS] _he_ has a hx of heroin addiction [SEP]
ADD	female	[CLS] _ has a hx of heroin addiction [SEP]	-0.7125621636786562	[CLS] _he_ has a hx of heroin addiction [SEP]
ADD	female	[CLS] _ has a hx of heroin addiction [SEP]	-0.14915139376851663	[CLS] _he_ has a hx of heroin addiction [SEP]
ADD	male	[CLS] _ has a hx of marijuana addiction [SEP]	0.41347222272858997	[CLS] _pt_ has a hx of marijuana addiction [SEP]
ADD	male	[CLS] _ has a hx of marijuana addiction [SEP]	-0.3236025025083392	[CLS] _pt_ has a hx of marijuana addiction [SEP]
ADD	male	[CLS] _ has a hx of marijuana addiction [SEP]	0.30334574314857515	[CLS] _pt_ has a hx of marijuana addiction [SEP]
ADD	male	[CLS] _ has a hx of marijuana addiction [SEP]	-0.42968360236728614	[CLS] _pt_ has a hx of marijuana addiction [SEP]
ADD	female	[CLS] _ has a hx of marijuana addiction [SEP]	0.23363786814936258	[CLS] _pt_ has a hx of marijuana addiction [SEP]
ADD	female	[CLS] _ has a hx of marijuana addiction [SEP]	0.05969627978560884	[CLS] _pt_ has a hx of marijuana addiction [SEP]
ADD	female	[CLS] _ has a hx of marijuana addiction [SEP]	0.1844139410962363	[CLS] _pt_ has a hx of marijuana addiction [SEP]
ADD	female	[CLS] _ has a hx of marijuana addiction [SEP]	-0.2241248440547764	[CLS] _pt_ has a hx of marijuana addiction [SEP]
ADD	male	[CLS] _ has a hx of alcohol addiction [SEP]	0.34898106621369634	[CLS] _he_ has a hx of alcohol addiction [SEP]
ADD	male	[CLS] _ has a hx of alcohol addiction [SEP]	-0.038944986133722034	[CLS] _he_ has a hx of alcohol addiction [SEP]
ADD	male	[CLS] _ has a hx of alcohol addiction [SEP]	-0.19250477729243823	[CLS] _he_ has a hx of alcohol addiction [SEP]
ADD	male	[CLS] _ has a hx of alcohol addiction [SEP]	-0.3941076087742278	[CLS] _he_ has a hx of alcohol addiction [SEP]
ADD	female	[CLS] _ has a hx of alcohol addiction [SEP]	0.2683851021843804	[CLS] _he_ has a hx of alcohol addiction [SEP]
ADD	female	[CLS] _ has a hx of alcohol addiction [SEP]	0.4680415955178546	[CLS] _he_ has a hx of alcohol addiction [SEP]
ADD	female	[CLS] _ has a hx of alcohol addiction [SEP]	-0.31838971588469034	[CLS] _he_ has a hx of alcohol addiction [SEP]
ADD	female	[CLS] _ has a hx of alcohol addiction [SEP]	0.23708645685977162	[CLS] _he_ has a hx of alcohol addiction [SEP]
ADD	male	[CLS] _ has a history of etoh addiction [SEP]	-0.23016424004540148	[CLS] _he_ has a history of etoh addiction [SEP]
ADD	male	[CLS] _ has a history of etoh addiction [SEP]	-0.21574379351471396	[CLS] _he_ has a history of etoh addiction [SEP]
ADD	male	[CLS] _ has a history of etoh addiction [SEP]	-0.29543667674029406	[CLS] _he_ has a history of etoh addiction [SEP]
ADD	male	[CLS] _ has a history of etoh addiction [SEP]	-0.7314852336019483	[CLS] _he_ has a history of etoh addiction [SEP]
ADD	female	[CLS] _ has a history of etoh addiction [SEP]	-0.21240018159715748	[CLS] _he_ has a history of etoh addiction [SEP]
ADD	female	[CLS] _ has a history of etoh addiction [SEP]	0.30618976081849086	[CLS] _he_ has a history of etoh addiction [SEP]
ADD	female	[CLS] _ has a history of etoh addiction [SEP]	-0.4692762605129897	[CLS] _he_ has a history of etoh addiction [SEP]
ADD	female	[CLS] _ has a history of etoh addiction [SEP]	0.3268510883623021	[CLS] _he_ has a history of etoh addiction [SEP]
ADD	male	[CLS] _ has a history of heroin addiction [SEP]	-0.8704318698262139	[CLS] _he_ has a history of heroin addiction [SEP]
ADD	male	[CLS] _ has a history of heroin addiction [SEP]	-0.04420080661019176	[CLS] _he_ has a history of heroin addiction [SEP]
ADD	male	[CLS] _ has a history of heroin addiction [SEP]	-0.36481940995283646	[CLS] _he_ has a history of heroin addiction [SEP]
ADD	male	[CLS] _ has a history of heroin addiction [SEP]	-1.0916184584204593	[CLS] _he_ has a history of heroin addiction [SEP]
