model_name,dataset_name,target_name,metric_name,metric_value
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,auroc,0.5167
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,precision,0.2041
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,recall,1.0
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,auprc,0.2407
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,log_loss,0.7871
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,acc,0.25
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,f1,0.2362
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,TN,3.0
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,FP,39.0
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,FN,0.0
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,TP,10.0
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,class_true_count,10.0
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,class_false_count,42.0
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,specificity,0.0714
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,pred_true_count,49.0
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,nsamples,52.0
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,pred_prevalence,0.9423
baseline_clinical_BERT_1_epoch_128,inhosp_mort,inhosp_mort,actual_prevalence,0.1923
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,auroc,0.5368
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,precision,0.8313
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,recall,0.9079
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,auprc,0.854
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,log_loss,0.6194
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,acc,0.7692
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,f1,0.4774
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,TN,1.0
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,FP,14.0
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,FN,7.0
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,TP,69.0
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,class_true_count,76.0
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,class_false_count,15.0
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,specificity,0.0667
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,pred_true_count,83.0
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,nsamples,91.0
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,pred_prevalence,0.9121
baseline_clinical_BERT_1_epoch_128,pheno_all,any_acute,actual_prevalence,0.8352
baseline_clinical_BERT_1_epoch_128,pheno_first,any_acute,auroc,0.3714
baseline_clinical_BERT_1_epoch_128,pheno_first,any_acute,precision,0.7292
baseline_clinical_BERT_1_epoch_128,pheno_first,any_acute,recall,1.0
